iter	Passed	Remaining
0	1	170
1	3	157
2	4	148
3	5	132
4	6	117
5	6	106
6	7	98
7	7	91
8	8	86
9	9	81
10	9	78
11	10	74
12	10	71
13	11	69
14	11	67
15	12	65
16	13	63
17	13	62
18	14	60
19	14	59
20	15	57
21	15	56
22	16	55
23	17	53
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	47
30	21	46
31	21	45
32	22	45
33	22	44
34	23	43
35	23	42
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	26	37
42	27	36
43	28	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
